Institution Name,DT,ID_RSSD,Total Exposures,Intra-Financial System Assets,Intra-Financial System Liabilities,Securities Outstanding,Payments,Assets Under Custody,Underwriting,OTC Derivatives,Trading and AFS Securities,Level 3 Assets,Cross-Jurisdictional Claims,Cross-Jurisdictional Liabilities,Qtr_Year
TD BANK US HOLDING COMPANY                                                                                              ,20131231,1249196,276806643,14569418,5124830,8343534,2392518835,9655029,0,151227643,17761485,1776915,35402000,1244000,2013
AMERICAN EXPRESS COMPANY                                                                                                ,20131231,1275216,177271700,7155000,36921000,161518000,143718000,0,0,42224000,4401000,0,29504000,19906000,2013
UNIONBANCAL CORPORATION                                                                                                 ,20131231,1378434,146461571,9834218,5857953,19747054,1058278541,119954708,0,64308843,8144298,2289132,2201000,2618361,2013
ALLY FINANCIAL INC.                                                                                                     ,20131231,1562859,152516000,6098000,16534000,108149000,290017000,0,0,61542000,9027000,205000,2236000,1932000,2013
CITIGROUP INC.                                                                                                          ,20131231,1951350,2894627600,420904000,512523000,595500000,3.01E+11,11095924000,331012000,59472006000,130113000,45685000,838644000,742475000,2013
MORGAN STANLEY                                                                                                          ,20131231,2162966,1282726862,535021798,182491089,231405818,9811965074,1369185923,261804800,43610512376,316368655,23281000,353380000,470008000,2013
CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,20131231,2277860,336207913,14186642,2466871,94444311,913806352,2723565,1850634,63418291,16185755,3649231,9495000,1882420,2013
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",20131231,2380443,1517513700,336644000,106942000,310141000,9584773000,865755000,371000000,50355240000,138305000,43003000,346666000,319418000,2013
HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,20131231,3232316,405781917,35711365,54924874,50430948,1061322343,42774610,48735223,5193826410,39638238,4205968,43465000,897963,2013
REGIONS FINANCIAL CORPORATION                                                                                           ,20131231,3242838,145969288,1253874,6692841,27270646,754883180,22040423,44635403,74346037,5061298,313268,1058000,460000,2013
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",20131231,3587146,409666200,79313000,229805000,61106000,1.66E+11,23590412000,5840000,1157850000,38944000,139000,86775000,164125000,2013
DISCOVER FINANCIAL SERVICES                                                                                             ,20131231,3846375,95633012,6860945,295985,74146000,321092913,0,0,11631070,559482,4098,192000,21000,2013
"SANTANDER HOLDINGS USA, INC.                                                                                            ",20131231,3981856,98283410,3861761,401818,11631170,24074151,0,0,17537179,11600007,195288,3824906,1210379,2013
JPMORGAN CHASE & CO.                                                                                                    ,20121231,1039502,3494373100,516334000,551400000,547772000,3.32E+11,16514235000,518348000,65547647000,NULL,99148000,749535000,670852000,2012
BANK OF AMERICA CORPORATION                                                                                             ,20121231,1073757,2777980794,350803072,251635813,476435663,69124181012,117686000,276917400,59144337304,NULL,36586973,512449000,234613000,2012
STATE STREET CORPORATION                                                                                                ,20121231,1111435,265741905,21606697,185648900,44228629,58627542828,17806141900,0,911846317,NULL,6979705,50554327,107123000,2012
WELLS FARGO & COMPANY                                                                                                   ,20121231,1120754,1813355400,123122000,82582000,374696000,31756516000,2200000000,85611000,3836339000,NULL,51879000,59238000,107944000,2012
CITIGROUP INC.                                                                                                          ,20121231,1951350,2619678300,387048000,494696000,613546000,1.78E+11,10690466000,353824000,50929889000,NULL,49312000,893550000,794157000,2012
MORGAN STANLEY                                                                                                          ,20121231,2162966,1068551000,523543000,214741000,226556000,12464002000,154615000,290236000,44278852000,NULL,27371000,469260000,411396000,2012
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",20121231,2380443,1337411700,323120000,128579000,321501000,12965823000,0,293000000,41151555000,NULL,50675000,366197000,234431000,2012
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",20121231,3587146,680253000,84470000,203596000,48262000,1.46E+11,22471935000,5339000,1109777000,NULL,315000,97688000,150023000,2012
